500
0 8.268,31 0,00 8.268,31 0,00 0
1 2.031,84 23.468,37 2.031,84 23.468,37 0
176 118,52 82.272,85 123,20 85.517,31 -12,7830612394189
177 6,77 82.342,27 7,06 85.793,81 -10,0998437074653
178 4,99 82.759,69 5,17 85.879,34 -10,0998437074653
179 34,09 82.269,69 35,45 85.550,37 -15,2870555951647
180 3,61 81.971,39 3,71 84.270,61 -15,2071898395557
181 2,51 81.363,93 2,57 83.254,24 -15,1812999692744
182 2,24 81.609,95 2,27 82.647,69 -15,1812999692744
183 0,28 81.907,92 0,28 82.242,63 -15,1812999692744
184 -5,87 82.368,31 -5,95 83.539,30 -2,2677577699004
185 -6,87 83.166,86 -7,04 85.170,84 -11,9678913573505
186 8,36 83.089,51 8,71 86.585,48 -15,1010946190656
187 4,47 83.295,35 4,53 84.416,93 -13,9413543719956
188 2,87 83.287,66 2,94 85.450,95 -13,9413543719956
189 0,53 83.403,54 0,54 85.849,65 -12,4611264433641
190 9,20 83.320,94 9,56 86.581,50 -15,6970773893597
191 12,14 83.035,55 12,51 85.575,08 -15,6970773893597
192 41,10 83.380,29 42,03 85.266,48 -20,6953926353727
193 46,02 83.849,95 47,42 86.409,02 -20,6953926353727
194 6,96 83.466,11 7,28 87.236,24 -20,6953926353727
195 1,13 83.636,16 1,17 86.277,61 -21,2471802474773
196 17,03 84.428,36 17,56 87.065,18 -16,692954037667
197 20,80 83.772,03 21,75 87.583,63 -16,692954037667
198 13,56 84.203,78 13,91 86.381,90 -16,9532080752745
199 30,91 84.390,39 32,19 87.895,45 -19,7402741786614
200 54,61 84.237,70 56,72 87.490,11 5,07444010150535
201 11,39 84.292,35 11,76 87.006,60 0,89334892812673
202 42,96 84.175,45 44,46 87.110,68 -8,95065928290303
203 49,79 84.217,77 51,48 87.091,24 -8,95065928290303
204 9,19 83.990,90 9,35 85.453,36 549,919276810048
205 21,56 83.976,56 22,21 86.519,05 534,791695085867
206 27,38 83.954,97 28,28 86.697,35 534,791695085867
207 37,24 83.889,59 38,44 86.590,90 604,333263420842
208 63,56 83.745,46 65,57 86.399,34 652,308856740191
209 4,18 83.525,85 4,23 84.548,36 716,658282148692
210 65,02 83.204,41 66,63 85.258,92 716,658282148692
211 30,15 82.902,21 30,70 84.400,97 581,399920650877
212 56,76 83.276,59 57,42 84.249,46 419,947742143055
213 32,01 82.943,13 32,67 84.641,37 419,974470460877
214 20,79 82.958,38 21,07 84.081,99 521,372856079633
215 8,06 82.872,28 8,17 83.993,80 521,372856079633
216 7,64 82.879,34 7,69 83.433,36 461,191475262909
217 1,84 82.791,58 1,85 83.314,79 461,191475262909
218 9,10 82.751,58 9,07 82.546,70 461,133525098103
219 4,12 82.790,40 4,08 82.064,81 460,643831976531
220 4,40 82.670,58 4,39 82.535,34 460,478240412381
221 -1,68 82.759,98 -1,67 82.537,40 1117,21703340169
222 0,54 82.654,63 0,54 82.702,67 -65,8051584317849
223 0,79 82.844,47 0,79 82.381,13 -65,8051584317849
224 -0,89 82.749,69 -0,89 82.388,30 -65,7984546427981
225 0,34 82.609,34 0,34 82.034,08 -66,1623166284059
226 -0,08 82.470,54 -0,08 81.352,35 -78,3826138005111
227 0,04 82.461,47 0,04 81.371,92 -78,3826138005111
228 -0,59 82.375,98 -0,59 81.279,13 -78,3826138005111
229 0,32 82.390,00 0,32 81.054,00 -78,3784133541534
230 3,70 82.375,45 3,65 81.142,71 -78,3784133541534
231 1,60 82.441,37 1,58 81.268,07 -78,3858666090584
232 5,50 82.446,18 5,43 81.398,39 -75,7610244013176
233 5,76 82.434,29 5,69 81.403,59 -74,3662822317396
234 4,21 82.423,70 4,16 81.408,48 -74,3662822317396
235 2,08 82.415,87 2,06 81.404,40 -76,0217813444264
236 0,25 82.404,53 0,25 81.381,25 -76,0217813444264
237 0,05 82.405,98 0,05 81.326,37 -76,3638893972051
238 0,07 82.403,81 0,07 81.275,65 -76,3638893972051
239 0,43 82.404,61 0,43 81.289,64 -76,3638893972051
240 1,50 82.424,40 1,48 81.314,55 -28,1129947456402
241 2,04 82.433,90 2,01 81.352,64 -28,1129947456402
242 3,46 82.454,19 3,41 81.375,54 -31,8214966967814
243 6,41 82.482,56 6,33 81.406,31 -28,3925439708608
244 7,22 82.490,82 7,13 81.440,25 -22,7304401568821
245 4,93 82.486,56 4,87 81.429,63 -22,7304401568821
246 1,72 82.499,24 1,69 81.408,11 -22,7304401568821
247 1,50 82.729,72 1,48 81.613,56 3,08078454308807
248 0,83 82.848,73 0,82 82.027,88 3,08078454308807
249 10,07 82.709,57 10,00 82.076,50 3,08078454308807
250 1,21 82.850,99 1,20 82.044,64 -27,1655950846757
251 8,02 82.898,86 7,93 82.002,28 -27,1655950846757
252 10,66 82.839,95 10,55 81.948,31 -12,985083723718
253 2,23 82.860,31 2,21 82.126,16 -22,1200401378829
254 2,95 82.871,86 2,90 81.545,60 -22,1200401378829
255 1,39 82.989,45 1,38 82.232,98 -12,2985881736404
256 0,55 83.109,05 0,55 82.435,96 -30,0948555171439
257 0,35 83.125,61 0,35 82.414,02 -25,5199060211452
258 1,32 83.305,74 1,31 82.595,62 -25,5199060211452
259 0,01 83.416,36 0,01 82.737,26 -23,8877183439394
260 0,21 83.514,65 0,21 82.342,98 -23,8877183439394
261 0,13 83.429,90 0,13 82.149,71 -23,8877183439394
262 2,05 83.511,57 2,04 83.003,76 -13,7943129998538
263 0,55 83.628,44 0,55 83.053,61 -13,7943129998538
264 1,80 83.775,09 1,80 83.668,51 -16,3866297075779
265 7,12 83.872,32 7,09 83.535,53 -17,0716810567603
266 3,06 84.192,29 3,05 84.088,73 -17,2234951667037
267 1,78 84.177,33 1,78 84.145,03 -9,32442603133309
268 2,20 84.496,90 2,20 84.200,39 -9,35857466564085
269 4,13 84.476,44 4,13 84.583,41 45,3405655375845
270 2,33 84.717,25 2,32 84.491,72 45,3405655375845
271 12,10 84.876,48 12,07 84.710,04 32,0964665300869
272 1,83 84.809,24 1,83 84.808,61 32,0964665300869
273 34,65 84.966,24 34,37 84.277,46 32,0964665300869
274 35,48 85.007,74 34,94 83.719,10 15,597411922383
275 24,05 85.475,17 23,49 83.482,62 -29,1352072999163
276 -0,08 85.341,70 -0,08 83.423,62 -29,7348088199196
277 50,90 85.142,76 49,66 83.059,60 -28,6467806752782
278 7,59 85.071,05 7,31 81.946,84 -28,6467806752782
279 21,58 85.068,64 20,67 81.492,57 -27,8025332153879
280 23,75 85.111,74 22,57 80.861,70 -27,8025332153879
281 23,45 85.156,47 22,28 80.919,93 -27,8025332153879
282 24,85 85.159,03 23,71 81.263,86 -26,0625649154058
283 24,60 85.061,74 23,46 81.119,79 -26,0625649154058
284 23,10 85.068,43 21,96 80.880,10 12,5712922985215
285 45,32 84.990,42 43,06 80.750,66 9,73247974511236
286 0,50 85.175,44 0,48 80.921,58 30,8604841666134
287 3,45 85.369,10 3,32 82.037,93 50,0536377598102
288 -0,15 85.349,97 -0,15 82.728,12 50,0536377598102
289 0,42 85.641,82 0,41 83.519,38 26,2232813015442
290 -2,02 85.625,87 -1,99 84.494,80 26,2232813015442
291 9,21 85.603,01 9,09 84.436,62 26,2232813015442
292 0,50 85.741,46 0,50 84.726,92 26,2232813015442
293 -1,73 85.895,49 -1,71 85.206,60 26,2232813015442
294 -3,57 85.903,08 -3,56 85.641,55 26,768676541953
295 0,10 85.728,70 0,10 85.357,69 69,0705593829601
296 2,15 85.480,01 2,14 84.802,91 10,0844819880242
297 9,01 85.562,15 8,88 84.263,05 10,0844819880242
298 2,51 85.771,36 2,50 85.296,19 -38,4962107223335
299 2,20 85.650,31 2,18 84.611,64 -38,4962107223335
300 -1,56 85.743,69 -1,56 85.458,05 -26,0080511385973
301 16,22 85.909,89 16,10 85.307,08 -26,0080511385973
302 4,18 86.045,79 4,17 85.800,92 -26,0080511385973
303 22,77 86.097,48 22,82 86.275,92 -32,0554608502752
304 6,78 86.166,68 6,72 85.419,21 -34,9816993409972
305 9,57 86.216,46 9,56 86.117,65 -34,9816993409972
306 13,02 86.288,41 13,04 86.400,99 -29,2506588986407
307 23,81 86.443,17 23,89 86.744,17 -31,3847812493081
308 0,50 86.380,58 0,50 87.366,30 -28,7145053904262
309 2,78 86.263,71 2,79 86.615,84 -31,3188293179352
310 3,28 86.315,97 3,30 86.707,20 -30,6402378353419
311 3,32 86.090,06 3,34 86.512,06 -30,6442056866807
312 7,30 86.196,71 7,27 85.881,11 -30,7712293980772
313 1,49 86.098,20 1,49 85.934,38 -30,5925937945112
314 0,11 86.005,81 0,11 85.574,03 -30,6466873055051
315 0,15 86.094,56 0,15 85.154,15 -27,8352597237152
316 0,30 86.030,82 0,30 85.660,77 -27,8352597237152
317 0,24 86.079,32 0,24 85.277,74 -27,7695268333141
318 0,30 86.093,72 0,29 85.412,32 -24,4451888965527
319 0,15 86.133,69 0,15 85.402,31 -24,4451888965527
320 1,07 86.167,39 1,06 85.379,27 -30,7349268994883
321 1,08 86.193,08 1,07 85.673,93 -22,3291803518801
322 3,63 86.175,80 3,60 85.483,68 -22,3518764173749
323 0,10 86.201,70 0,10 85.647,73 -15,6265587610142
324 0,01 86.219,22 0,01 85.872,95 -15,6265587610142
325 0,12 86.254,54 0,12 85.668,94 -20,094311092907
326 -0,05 86.280,14 -0,05 85.545,42 -20,094311092907
327 -0,06 86.301,28 -0,06 85.758,67 -20,094311092907
328 0,06 86.322,83 0,05 85.990,40 -16,6316776970142
329 -0,04 86.338,40 -0,04 86.077,10 -12,7327941492781
330 0,00 86.353,00 0,00 86.214,14 -12,8483424652024
331 -0,04 86.365,91 -0,04 86.253,04 -15,9140333639293
332 -0,13 86.374,50 -0,13 86.301,03 -15,9140333639293
333 0,15 86.403,84 0,15 86.341,49 -4,82819045844001
334 0,30 86.373,28 0,30 86.403,67 -4,82819045844001
335 0,52 86.480,51 0,52 86.456,51 -4,82819045844001
336 0,04 86.382,78 0,04 86.552,89 -11,3643114762412
337 0,14 86.411,99 0,14 86.346,12 -18,5390370766494
338 0,44 86.443,57 0,44 86.450,42 -34,3673326998023
339 0,36 86.469,27 0,36 86.507,64 -34,3673326998023
340 0,24 86.452,57 0,24 86.453,16 7,78047018538898
341 0,15 86.494,75 0,15 86.451,75 17,1579851730623
342 0,21 86.468,84 0,21 86.487,01 28,8082634832813
343 0,51 86.488,65 0,51 86.429,36 28,8398531013462
344 0,17 86.464,94 0,17 86.428,59 28,8743450654292
345 0,04 86.474,46 0,04 86.380,68 32,6234887180358
346 0,27 86.477,71 0,27 86.391,54 32,5802106019861
347 0,53 86.478,76 0,53 86.379,47 32,5802106019861
348 0,18 86.470,39 0,17 86.360,76 34,3434461345544
349 0,10 86.475,50 0,10 86.385,11 34,3434461345544
350 0,16 86.473,38 0,16 86.320,78 18,7616052857899
351 0,21 86.485,77 0,21 86.383,19 5,57797606454099
352 0,05 86.497,35 0,05 86.384,89 5,57797606454099
353 0,12 86.496,00 0,12 86.385,45 35,7666503650277
354 0,36 86.494,70 0,36 86.352,58 35,7666503650277
355 0,40 86.492,56 0,40 86.339,69 45,1398747698292
356 2,73 86.486,14 2,72 86.290,95 45,1398747698292
357 0,76 86.484,73 0,75 86.258,76 45,0439529829726
358 0,03 86.492,49 0,03 86.301,83 50,9033030972341
359 -0,06 86.497,82 -0,06 86.292,53 34,7569555116728
360 0,06 86.498,34 0,06 86.311,60 -20,3120787581081
361 0,18 86.500,70 0,18 86.339,67 -20,3369603717496
362 0,07 86.508,75 0,07 86.304,45 -21,7098771039841
363 0,01 86.504,44 0,01 86.345,47 -1,65382482864939
364 0,07 86.508,78 0,07 86.347,68 -0,00150480673700335
365 0,19 86.517,33 0,18 86.295,89 -0,00150480673700335
366 0,08 86.520,00 0,08 86.372,39 -0,00150480673700335
367 0,42 86.513,62 0,42 86.324,52 -0,00150480673700335
368 0,08 86.513,85 0,08 86.354,88 -0,00150480673700335
369 0,10 86.520,65 0,10 86.358,84 2,33902078471374
370 0,05 86.534,06 0,05 86.384,85 -22,741254116294
371 0,03 86.529,55 0,03 86.392,60 -22,741254116294
372 0,38 86.527,14 0,38 86.356,98 -22,6902533093163
373 0,08 86.524,63 0,08 86.375,18 -18,9979522576194
374 0,04 86.530,32 0,04 86.368,05 -14,0423019760663
375 0,10 86.529,52 0,10 86.382,11 -17,8331694056288
376 0,12 86.544,25 0,12 86.393,72 -19,6950803172743
377 0,12 86.547,24 0,12 86.401,98 -19,5222180366167
378 0,20 86.547,93 0,20 86.418,31 -11,9988666821035
379 0,20 86.549,02 0,20 86.410,13 -6,42525665874191
380 0,55 86.555,02 0,55 86.386,52 -1,16418312248696
381 0,18 86.553,84 0,18 86.399,03 -1,16418312248696
382 0,01 86.555,00 0,01 86.383,97 1,85948703537748
383 0,08 86.553,77 0,08 86.384,74 -0,935276751324744
384 0,02 86.553,96 0,02 86.372,85 -0,935276751324744
385 0,02 86.558,63 0,02 86.380,56 -0,935276751324744
386 0,17 86.562,52 0,17 86.397,82 -0,935276751324744
387 0,10 86.563,29 0,10 86.415,06 -0,935276751324744
388 0,11 86.559,95 0,11 86.410,35 0,528272167433113
389 0,11 86.561,60 0,11 86.405,47 11,2904331908029
390 0,15 86.565,35 0,15 86.408,80 7,80406221895735
391 0,02 86.569,54 0,02 86.417,78 15,1786599202755
392 0,18 86.562,83 0,18 86.417,13 54,95259224486
393 0,17 86.563,69 0,17 86.400,88 54,95259224486
394 0,02 86.563,51 0,02 86.402,47 30,499361751614
395 0,07 86.564,46 0,07 86.404,80 30,4497572490853
396 0,14 86.562,92 0,14 86.404,44 33,8863129357494
397 0,04 86.565,55 0,04 86.404,50 46,65267607644
398 0,05 86.567,53 0,05 86.409,24 28,5096991106985
399 0,12 86.568,89 0,12 86.412,53 28,5096991106985
400 0,04 86.567,68 0,04 86.414,33 17,969153503465
401 0,14 86.567,92 0,14 86.410,33 17,969153503465
402 0,04 86.569,12 0,04 86.408,80 17,969153503465
403 0,11 86.570,05 0,10 86.412,21 12,5038635760894
404 0,01 86.569,85 0,01 86.413,53 -19,7111643339293
405 0,08 86.569,58 0,08 86.413,26 -19,7111643339293
406 0,00 86.569,08 0,00 86.402,99 -19,7111643339293
407 0,10 86.570,91 0,10 86.401,75 -19,7111643339293
408 0,08 86.571,63 0,08 86.414,64 -11,9569098958704
409 0,14 86.570,45 0,14 86.410,66 -11,9569098958704
410 0,08 86.569,23 0,08 86.403,78 -0,243338091453671
411 0,07 86.569,06 0,07 86.402,96 -1,8988775820206
412 0,14 86.567,60 0,14 86.407,35 -12,533447184352
413 0,10 86.568,56 0,10 86.397,78 -19,6865189062883
414 0,03 86.567,24 0,03 86.397,14 -18,8324221751832
415 0,07 86.567,76 0,07 86.391,25 -18,8324221751832
416 0,03 86.567,70 0,03 86.390,59 -18,8324221751832
417 0,03 86.567,95 0,03 86.383,23 -18,3920527772942
418 0,04 86.568,04 0,04 86.384,23 -18,3920527772942
419 0,05 86.567,66 0,05 86.386,39 -15,2770893285601
420 0,06 86.567,20 0,06 86.381,10 -15,2770893285601
421 0,01 86.567,16 0,01 86.379,25 -7,44857512100684
422 0,00 86.567,88 0,00 86.378,54 -7,44857512100684
423 0,02 86.568,04 0,02 86.385,69 -7,44857512100684
424 0,10 86.568,33 0,10 86.392,00 -7,44857512100684
425 0,02 86.569,03 0,02 86.397,96 -7,44857512100684
426 0,07 86.568,22 0,07 86.405,02 -7,44857512100684
427 0,15 86.568,20 0,14 86.394,07 -5,68196088988805
428 0,05 86.568,82 0,04 86.397,37 -3,07076856253946
429 0,03 86.569,06 0,03 86.399,68 -3,92421327212439
430 0,03 86.568,40 0,03 86.400,38 -3,92421327212439
431 0,13 86.568,04 0,13 86.397,68 -3,92421327212439
432 0,16 86.568,11 0,16 86.398,95 -4,95049481794458
433 0,07 86.567,69 0,07 86.398,00 2,57771902163162
434 0,02 86.567,93 0,02 86.393,54 2,57771902163162
435 0,03 86.568,39 0,03 86.390,81 2,57771902163162
436 0,06 86.568,06 0,06 86.400,39 2,57771902163162
437 0,06 86.569,46 0,06 86.396,58 -5,78234811112165
438 0,05 86.568,70 0,05 86.404,55 -5,78234811112165
439 0,12 86.569,53 0,12 86.401,43 -5,78234811112165
440 0,10 86.569,71 0,10 86.404,06 -5,78234811112165
441 0,13 86.569,21 0,13 86.407,63 -5,78234811112165
442 0,10 86.569,96 0,10 86.407,92 2,62715575211108
443 0,10 86.570,71 0,10 86.407,72 -3,82839966775652
444 0,07 86.568,79 0,07 86.409,61 -3,82839966775652
445 0,08 86.567,62 0,08 86.405,30 8,35928965114462
446 0,03 86.567,56 0,03 86.402,22 2,23258306292229
447 0,02 86.567,55 0,02 86.401,67 -11,7808234992333
448 0,01 86.567,53 0,01 86.400,84 -11,7808234992333
449 0,00 86.567,89 0,00 86.402,06 -11,7808234992333
450 0,09 86.568,09 0,09 86.401,64 -12,2018107638408
451 0,10 86.567,58 0,10 86.402,74 -3,24124444520286
452 0,02 86.567,50 0,02 86.399,61 -3,24124444520286
453 0,02 86.567,49 0,02 86.399,73 -6,74772114238822
454 0,05 86.567,92 0,05 86.400,18 -12,368744883572
455 0,02 86.569,42 0,02 86.401,80 -12,3666321270544
